日付,俳句
2010/5/1,苗床に　朝の陽集め　露の網
2009/7/1,夏緑　切りて走る　多摩の径
2010/7/1,待望の　雨に息づく　我と稲
2007/9/1,まだかなと　稲穂待つ身は　人の親
2011/9/1,ゴマの実の　はじける音や　乾きたり
2010/11/1,稲去りて　ほっと一息　田圃かな
2009/8/1,畔草を　刈りて後の　涼しさよ
2010/11/1,草地より　濡れ顔覗く　スッポンタケ
2011/1/1,初仕事　仰ぎ見れば　白き富士
2011/2/1,落とすまい　雪抱き枝　母の腕
2011/2/1,霜溶けて　音にぎわしき　谷戸の午後
2016/7/1,ヤマユリの　白のまばゆし　風そよぐ
2016/7/1,ヤマユリの　花の多さ　緑映ゆ
2013/7/1,林縁に　ヤマユリ四五本　谷戸揺らす
2010/5/1,陽に笑い　雨に歌えり　小紫陽花
2010/6/1,水澄て　鏡と化す　谷津田かな
2010/7/1,ネムの花　谷戸に紅差し　緑映え
2015/11/1,干し籾に　枯れ葉舞い落ち　谷津田かな
2010/1/1,陽を浴びて　照れ笑いする　アカマンマ
2025/3/1,ナラ枯れて　貧し森や　カタクリ咲く
2015/6/1,走る水　ホトケドジョウ　群れ集う
2014/12/1,今日踏む　落ち葉も我も　歳重ね
2014/12/1,むつまじく　紅葉踏みしめ　年送る
2014/12/1,落ち葉かき　熊手の先に　古き香り
2011/11/1,燻炭の　煙囲みて　集いけり
2011/11/1,ワラボッチ　一年の息を　吸い込みぬ
2011/6/1,水匂う　畔にひらりと　キアゲハよ
2017/6/1,代搔きや　上を下へと　泥しぶき
2010/1/1,見上ぐれば　ウリカエデ笑む　里の径
2011/7/1,山路折れ　コジュケイの尾　藪に消え
